# DURATION     TID     FUNCTION
   3.970 us [ 63010] |       } /* sfuse_getattr_cb */
  20.031 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.173 us [ 63010] |           fuse_get_context();
   0.575 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.141 us [ 63010] |           strcmp();
   0.460 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.511 us [ 63010] |             lseek();
   0.948 us [ 63010] |             read();
   1.970 us [ 63010] |           } /* disk_read */
   2.161 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.444 us [ 63010] |             lseek();
   1.022 us [ 63010] |             read();
   1.965 us [ 63010] |           } /* disk_read */
   2.246 us [ 63010] |         } /* read_block */
   0.129 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   0.132 us [ 63010] |         strcmp();
   7.946 us [ 63010] |       } /* sfuse_readdir_cb */
  11.657 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.139 us [ 63010] |           fuse_get_context();
   0.472 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.141 us [ 63010] |           strcmp();
   0.446 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.515 us [ 63010] |             lseek();
   0.962 us [ 63010] |             read();
   7.591 us [ 63010] |           } /* disk_read */
   7.845 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.491 us [ 63010] |             lseek();
   1.021 us [ 63010] |             read();
   2.041 us [ 63010] |           } /* disk_read */
   2.288 us [ 63010] |         } /* read_block */
   0.157 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   0.129 us [ 63010] |         strcmp();
  12.829 us [ 63010] |       } /* sfuse_readdir_cb */
  12.786 us [ 63010] |       /* linux:schedule */
  10.631 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.142 us [ 63010] |           fuse_get_context();
   0.482 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.145 us [ 63010] |           strcmp();
   0.479 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.473 us [ 63010] |             lseek();
   0.986 us [ 63010] |             read();
   2.037 us [ 63010] |           } /* disk_read */
   2.267 us [ 63010] |         } /* inode_load */
   0.127 us [ 63010] |         memset();
   3.991 us [ 63010] |       } /* sfuse_getattr_cb */
  17.047 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.154 us [ 63010] |           fuse_get_context();
   0.629 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.160 us [ 63010] |           strcmp();
   0.498 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.481 us [ 63010] |             lseek();
   0.954 us [ 63010] |             read();
   1.962 us [ 63010] |           } /* disk_read */
   2.243 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.449 us [ 63010] |             lseek();
   1.070 us [ 63010] |             read();
   2.032 us [ 63010] |           } /* disk_read */
   2.304 us [ 63010] |         } /* read_block */
   0.143 us [ 63010] |         strcmp();
   0.140 us [ 63010] |         strcmp();
   0.128 us [ 63010] |         strcmp();
   7.772 us [ 63010] |       } /* sfuse_readdir_cb */
  11.946 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.143 us [ 63010] |           fuse_get_context();
   0.543 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.145 us [ 63010] |           strcmp();
